"id";"deviceId";"overTemperatureInsideTheDevice";"isNight";"PVArrayInputVoltage";"PVArrayInputCurrent";"PVArrayInputPowerL";"PVArrayInputPowerH";"loadVoltage";"loadCurrent";"loadPowerL";"loadPowerH";"batteryTemperature";"deviceTemperature";"batterySOC";"batteryRealRatedVoltage";"batteryStatus";"chargingEquipmentStatus";"dischargingEquipmentStatus";"maximumBatteryVoltageToday";"minimumBatteryVoltageToday";"consumedEnergyTodayL";"consumedEnergyTodayH";"consumedEnergyThisMonthL";"consumedEnergyThisMonthH";"consumedEnergyThisYearL";"consumedEnergyThisYearH";"totalConsumedEnergyL";"totalConsumedEnergyH";"generatedEnergyTodayL";"generatedEnergyTodayH";"generatedEnergyThisMonthL";"generatedEnergyThisMonthH";"generatedEnergyThisYearL";"generatedEnergyThisYearH";"totalGeneratedEnergyL";"totalGeneratedEnergyH";"batteryVoltage";"batteryCurrentL";"batteryCurrentH";"ratedChargingCurrent";"ratedLoadCurrent";"batteryType";"batteryCapacity";"temperatureCompensationCoefficient";"chargingLimitVoltage";"overVoltageReconnectVoltage";"equalizeChargingVoltage";"boostChargingVoltage";"floatChargingVoltage";"boostReconnectChargingVoltage";"lowVoltageReconnectVoltage";"underVoltageWarningRecoverVoltage";"underVoltageWarningVoltage";"lowVoltageDisconnectVoltage";"dischargingLimitVoltage";"batteryRatedVoltageLevel";"defaultLoadOnOffInManualMode";"equalizeDuration";"boostDuration";"batteryDischarge";"batteryCharge";"chargingMode";"nightTimeThresholdVoltageNTTV";"lightSignalStartupNightDelayTime";"dayTimeThresholdVoltageDTTV";"lightSignalCloseDayDelayTime";"loadControlMode";"LightOnTimeTime1";"LightOnTimeTime2";"timingControlTurnOnTime1Second";"timingControlTurnOnTime1Minute";"timingControlTurnOffTime1Second";"timingControlTurnOffTime1Minute";"timingControlTurnOffTime1Hour";"timingControlTurnOnTime2Second";"timingControlTurnOnTime2Minute";"timingControlTurnOnTime2Hour";"timingControlTurnOffTime2Second";"timingControlTurnOffTime2Minute";"timingControlTurnOffTime2Hour";"nightTime";"timingControlTimeChoose";"realTimeClockSecondsMinutes";"realTimeClockHourDay";"realTimeClockMonthYear";"batteryUpperTemperatureLimit";"batteryLowerTemperatureLimit";"deviceOverTemperature";"deviceRecoveryTemperature";"backlightTime";"arrayRatedVoltage";"arrayRatedCurrent";"arrayRatedPowerL";"arrayRatedPowerH";"batteryRatedVoltage";"batteryRatedCurrent";"batteryRatedPowerL";"batteryRatedPowerH";"ratedLoadVoltage";"ratedLoadPowerToL";"ratedLoadPowerToH";"timestamp";"timestamp_minute";"timestamp_hour";"timestamp_date";"timestamp_month";"timestamp_year"
"43e1c89a-72e0-48cb-908f-38b6950aacae";"0";false;0;38.21;2.33;89.26;0;14.26;0.04;1.28;0;25;36.1;100;12;"0";"11";"1";14.69;12.5;0;0;0.02;0;0.46;0;7.34;0;0.26;0;2.1;0;57.24;0;393.78;0;14.23;6.5;0;40;40;"1";200;3;15;15;14.6;14.4;13.8;13.2;12.6;12.2;12;11.1;10.6;"0";false;120;120;0.3;1;false;5;10;6;10;"0";"256";"256";0;0;0;0;6;0;0;19;0;0;6;"2309";0;"5424";"1027";"3588";65;615.36;85;75;0.6;100;40;384.64;0.01;24;40;384.64;0.01;;;;1672573200008;40;8;1;1;2023
"0ce9ff8d-b539-488d-be13-0fb4b9c484ff";"0";false;0;39.56;2.51;98.26;0;14.43;0;0.14;0;25;35.96;100;12;"0";"11";"1";14.69;12.5;0;0;0.02;0;0.46;0;7.34;0;0.27;0;2.11;0;57.25;0;393.79;0;14.45;6.87;0;40;40;"1";200;3;15;15;14.6;14.4;13.8;13.2;12.6;12.2;12;11.1;10.6;"0";false;120;120;0.3;1;false;5;10;6;10;"0";"256";"256";0;0;0;0;6;0;0;19;0;0;6;"2309";0;"6704";"1027";"3588";65;615.36;85;75;0.6;100;40;384.64;0.01;24;40;384.64;0.01;;;;1672573500009;45;8;1;1;2023
"0457fcac-abe3-4b9c-b734-2b58bd53b539";"0";false;0;37.12;2.22;83.34;0;14.37;0;0;0;25;35.85;100;12;"0";"11";"1";14.69;12.5;0;0;0.02;0;0.46;0;7.34;0;0.28;0;2.12;0;57.26;0;393.8;0;14.33;5.69;0;40;40;"1";200;3;15;15;14.6;14.4;13.8;13.2;12.6;12.2;12;11.1;10.6;"0";false;120;120;0.3;1;false;5;10;6;10;"0";"256";"256";0;0;0;0;6;0;0;19;0;0;6;"2309";0;"7984";"1027";"3588";65;615.36;85;75;0.6;100;40;384.64;0.01;24;40;384.64;0.01;;;;1672573800007;50;8;1;1;2023
"9733368f-646e-4e09-96fd-dd37388563eb";"0";false;0;35.8;2.46;86.94;0;14.49;0.01;0.72;0;25;35.73;100;12;"0";"11";"1";14.69;12.5;0;0;0.02;0;0.46;0;7.34;0;0.29;0;2.13;0;57.27;0;393.81;0;14.48;6.07;0;40;40;"1";200;3;15;15;14.6;14.4;13.8;13.2;12.6;12.2;12;11.1;10.6;"0";false;120;120;0.3;1;false;5;10;6;10;"0";"256";"256";0;0;0;0;6;0;0;19;0;0;6;"2309";0;"9264";"1027";"3588";65;615.36;85;75;0.6;100;40;384.64;0.01;24;40;384.64;0.01;;;;1672574100104;55;8;1;1;2023
"85f9d98b-ff2d-4eb3-9e75-93fc0f98258d";"0";false;0;39.78;1.91;75.69;0;14.39;0.08;0.86;0;25;35.64;100;12;"0";"11";"1";14.69;12.5;0;0;0.02;0;0.46;0;7.34;0;0.29;0;2.13;0;57.27;0;393.81;0;14.39;5.24;0;40;40;"1";200;3;15;15;14.6;14.4;13.8;13.2;12.6;12.2;12;11.1;10.6;"0";false;120;120;0.3;1;false;5;10;6;10;"0";"256";"256";0;0;0;0;6;0;0;19;0;0;6;"2309";0;"10544";"1027";"3588";65;615.36;85;75;0.6;100;40;384.64;0.01;24;40;384.64;0.01;;;;1672574400008;0;9;1;1;2023
"46db18c5-1ecb-4356-ad5d-7eca598fd28a";"0";false;0;39.47;1.9;75.31;0;14.4;0.05;0.43;0;25;35.55;100;12;"0";"11";"1";14.69;12.5;0;0;0.02;0;0.46;0;7.34;0;0.3;0;2.14;0;57.28;0;393.82;0;14.37;5.18;0;40;40;"1";200;3;15;15;14.6;14.4;13.8;13.2;12.6;12.2;12;11.1;10.6;"0";false;120;120;0.3;1;false;5;10;6;10;"0";"256";"256";0;0;0;0;6;0;0;19;0;0;6;"2309";0;"11824";"1027";"3588";65;615.36;85;75;0.6;100;40;384.64;0.01;24;40;384.64;0.01;;;;1672574700011;5;9;1;1;2023
"8ffb5bfb-a8b2-4dda-bf98-a12df08c1aaf";"0";false;0;39.26;1.8;70.65;0;14.36;0.07;0.57;0;25;35.47;100;12;"0";"11";"1";14.69;12.5;0;0;0.02;0;0.46;0;7.34;0;0.31;0;2.15;0;57.29;0;393.83;0;14.39;4.91;0;40;40;"1";200;3;15;15;14.6;14.4;13.8;13.2;12.6;12.2;12;11.1;10.6;"0";false;120;120;0.3;1;false;5;10;6;10;"0";"256";"256";0;0;0;0;6;0;0;19;0;0;6;"2309";0;"13104";"1027";"3588";65;615.36;85;75;0.6;100;40;384.64;0.01;24;40;384.64;0.01;;;;1672575000012;10;9;1;1;2023
"2a820b1f-12de-4bbc-9ea1-6fe8fc5ee22d";"0";false;0;39.12;1.74;68.2;0;14.42;0;0.28;0;25;35.41;100;12;"0";"11";"1";14.69;12.5;0;0;0.02;0;0.46;0;7.34;0;0.31;0;2.15;0;57.29;0;393.83;0;14.43;4.78;0;40;40;"1";200;3;15;15;14.6;14.4;13.8;13.2;12.6;12.2;12;11.1;10.6;"0";false;120;120;0.3;1;false;5;10;6;10;"0";"256";"256";0;0;0;0;6;0;0;19;0;0;6;"2309";0;"14384";"1027";"3588";65;615.36;85;75;0.6;100;40;384.64;0.01;24;40;384.64;0.01;;;;1672575300009;15;9;1;1;2023
be8d666f-cfbc-4738-92f3-52a8188f8ca2;"0";false;0;38.86;1.63;63.28;0;14.35;0.05;0.86;0;25;35.33;100;12;"0";"11";"1";14.69;12.5;0;0;0.02;0;0.46;0;7.34;0;0.32;0;2.16;0;57.3;0;393.84;0;14.35;4.39;0;40;40;"1";200;3;15;15;14.6;14.4;13.8;13.2;12.6;12.2;12;11.1;10.6;"0";false;120;120;0.3;1;false;5;10;6;10;"0";"256";"256";0;0;0;0;6;0;0;19;0;0;6;"2309";0;"304";"1028";"3588";65;615.36;85;75;0.6;100;40;384.64;0.01;24;40;384.64;0.01;;;;1672575600008;20;9;1;1;2023
"7d2df13b-9bcc-44d7-aec7-1513dbdc67bb";"0";false;0;39.34;1.58;62.56;0;14.45;0.04;0.72;0;25;35.27;100;12;"0";"11";"1";14.69;12.5;0;0;0.02;0;0.46;0;7.34;0;0.32;0;2.16;0;57.3;0;393.84;0;14.45;4.35;0;40;40;"1";200;3;15;15;14.6;14.4;13.8;13.2;12.6;12.2;12;11.1;10.6;"0";false;120;120;0.3;1;false;5;10;6;10;"0";"256";"256";0;0;0;0;6;0;0;19;0;0;6;"2309";0;"1584";"1028";"3588";65;615.36;85;75;0.6;100;40;384.64;0.01;24;40;384.64;0.01;;;;1672575900009;25;9;1;1;2023
